# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.6063598038747493,-3.442893632321672,0.35,0.35
-1.6641709864566945,-3.401584970156181,0.35,0.35
-1.7865147364566933,-3.273167787514227,0.35,0.35
-1.831359803874749,-3.2067241010261203,0.35,0.35
-1.8609342156442832,-3.1541832267480263,0.35,0.35
-1.899262190842789,-3.0010308161255796,0.35,0.35
-1.9239542377405918,-2.497741602344613,0.35,0.35
-1.9250000000000007,-1.7270793000000015,0.35,0.35
-1.9238979590330771,-0.961921875620364,0.35,0.35
-1.8998110324794606,-0.46140144032582775,0.35,0.35
-1.8629015043394457,-0.3146507138663477,0.35,0.35
-1.8345719722007647,-0.26888693197796876,0.35,0.35
-1.771996586169271,-0.1839093152948177,0.35,0.35
-1.6565518909043462,-0.09306173020742925,0.35,0.35
-1.558334765740895,-0.0488791662910355,0.35,0.35
-1.3660333752698293,-0.003789351036855848,0.35,0.35
-0.9789185941984648,0.021387574319069458,0.35,0.35
-0.7072961949296293,0.02292069999999491,0.35,0.35
-0.3578521912893535,0.020987211510648862,0.35,0.35
-0.001984703262034593,-0.012731237102338255,0.35,0.35
0.16374005960410543,-0.06211353694302524,0.35,0.35
0.27913766539043205,-0.14217033825795689,0.35,0.35
0.3544522841441138,-0.2600085084774779,0.35,0.35
0.3999280859123129,-0.4227349150319295,0.35,0.35
0.42580924074219784,-0.6374564253516528,0.35,0.35
0.43442694570052964,-0.7691468823667602,0.35,0.35
0.44611129524188264,-0.93902358427321,0.35,0.35
0.48341524660486,-1.2016407010204961,0.35,0.35
0.5470033970066988,-1.4017913927546832,0.35,0.35
0.6475000756724381,-1.5729169033264956,0.35,0.35
0.7171110919079906,-1.658926299572082,0.35,0.35
0.7726625569658658,-1.719957255293119,0.35,0.35
0.9083375683156403,-1.8262752669510807,0.35,0.35
1.0668404559314277,-1.9122258871750422,0.35,0.35
1.2407727517967677,-1.9761705474171638,0.35,0.35
1.4227359878951935,-2.01647067912962,0.35,0.35
1.6053316962102464,-2.03148771376455,0.35,0.35
1.7811614087254641,-2.019583082774135,0.35,0.35
1.9428266574243827,-1.9791182176105284,0.35,0.35
2.0149829963442105,-1.9463712242511253,0.35,0.35
2.095600938457884,-1.904216873873212,0.35,0.35
2.2350829870902036,-1.8145347347162204,0.35,0.35
2.3504550047287927,-1.7148493368366236,0.35,0.35
2.4439331821739785,-1.6012105328553208,0.35,0.35
2.5177337102261026,-1.4696681753932044,0.35,0.35
2.5740727796854905,-1.3162721170711809,0.35,0.35
2.632179189087914,-1.0405275267474625,0.35,0.35
2.652665957834957,-0.8097625537999864,0.35,0.35
2.6641927287993106,-0.664692582942715,0.35,0.35
2.6996310863619106,-0.4237966589564426,0.35,0.35
2.757097041206504,-0.23629685377481913,0.35,0.35
2.8445526139123203,-0.09586349798753524,0.35,0.35
2.9699598250586012,0.0038330778157220635,0.35,0.35
3.1412806952245775,0.06912254304526577,0.35,0.35
3.366477244989487,0.10633456711139821,0.35,0.35
3.6535114949325678,0.12179881942443593,0.35,0.35
3.8257800860288915,0.12284300004603033,0.35,0.35
4.0683073363108,0.12086555092800388,0.35,0.35
4.419080559528432,0.0892548247897782,0.35,0.35
4.597332068915845,0.033862470314362625,0.35,0.35
4.6899676917460855,-0.0198524863309526,0.35,0.35
4.800667155438669,-0.12937872598400624,0.35,0.35
4.861161736008842,-0.2309425648635024,0.35,0.35
4.8910140896688254,-0.2887264567113146,0.35,0.35
4.928560202105464,-0.4446599925944046,0.35,0.35
4.947851872560767,-0.9406475038654865,0.35,0.35
4.9400250008723425,-1.702079300000003,0.35,0.35
4.930238549320029,-2.4667671898611463,0.35,0.35
4.898664146529876,-2.9619086395494083,0.35,0.35
4.855875366722012,-3.117993470376243,0.35,0.35
4.823299120082208,-3.1770793000000044,0.35,0.35
4.786440700611513,-3.2418202169760253,0.35,0.35
4.715650710667369,-3.344507411367042,0.35,0.35
4.609496268108295,-3.419058497040014,0.35,0.35
4.4247810713658176,-3.4699373170562584,0.35,0.35
4.118308818871466,-3.501607714477105,0.35,0.35
3.6468832090567673,-3.51853353236387,0.35,0.35
2.5700833535832324,-3.526488950749341,0.35,0.35
1.4500000000000002,-3.525671131341598,0.35,0.35
-0.22516303255930037,-3.523876478018396,0.35,0.35
-1.29279042991595,-3.501497430646234,0.35,0.35
-1.5558783331225374,-3.468227074674042,0.35,0.35
-1.6063598038747493,-3.442893632321672,0.35,0.35
